string;length;weight;experimenter;stopwatch;time;period
1;1,5;1;1;4;12,4;2,48
1;1,5;2;1;2;12,2;2,44
1;1,5;3;1;3;12,53;2,506
1;1;1;1;4;10,11;2,022
1;1;2;1;3;10,11;2,022
1;1;3;1;2;10,08;2,016
1;0,5;1;1;2;7,18;1,436
1;0,5;2;1;3;7,2;1,44
1;0,5;3;1;4;7,16;1,432
2;1,5;1;2;4;12,35;2,47
2;1,5;2;2;1;12,06;2,412
2;1,5;3;2;3;12,26;2,452
2;1;1;2;3;10,12;2,024
2;1;2;2;1;9,86;1,972
2;1;3;2;4;10,03;2,006
2;0,5;1;2;1;7,03;1,406
2;0,5;2;2;4;7,03;1,406
2;0,5;3;2;3;6,9;1,38
2;1,5;1;3;1;12,13;2,426
2;1,5;2;3;4;12,28;2,456
2;1,5;3;3;2;12,3;2,46
2;1;1;3;4;10,18;2,036
2;1;2;3;2;10,13;2,026
2;1;3;3;1;10,2;2,04
2;0,5;1;3;2;6,96;1,392
2;0,5;2;3;1;6,93;1,386
2;0,5;3;3;4;6,88;1,376
1;1,5;1;4;2;12,15;2,43
1;1,5;2;4;3;12,26;2,452
1;1,5;3;4;1;12,27;2,454
1;1;1;4;1;9,9;1,98
1;1;2;4;2;9,97;1,994
1;1;3;4;3;10,06;2,012
1;0,5;1;4;3;7,28;1,456
1;0,5;2;4;1;7,1;1,42
1;0,5;3;4;2;7,25;1,45
